id,review,label,confidence
27,i waited about an hour for a table when i was told the wait was 20 minutes sat down my appatizer came out with my food my shrimp was completely raw as well as my dads fish the lighting was so dim he had ate about half of his fish and when he told the waiter she said oh it's fine and laughed it off he was brought a new plate they took my whole plate which included shrimp steak mashed patatos and broccoli to the back not once but twice and then brought out the same plate they remade my shrimp it came out raw again for the second time and when i asked to speak to the manger she said she would comp my meal threw away my food and didn't ask if she could remake it when i asked her to remake my food my waiter had brought it out and said here's your lunch for tommrow and rolled her eyes mind you i was in this restaurant for about two hours and all i had so far was bread and a bite of raw shrimp,Complaint,0.98
28,If I could give a 0 I would. Don't go for lunch. It will make you sick. I've read other reviews that have said the staff doesn't pay workers fairly and I will not support a business who doesn't take care of their staff.,Complaint,0.95
29,Bait and switch. Beware. Ordered a lunch from online menu. When I picked it up prices were higher by 20%. No recourse. Unethical.,Complaint,0.94
30,Bad customer service we walked up to the register and the lady was on her phone didn't greet us we waited for her to get off her phone to help us then as I was ordering a steak the lady was very rude and talking about other customers ordering  the place is very dirty not a pleasant visit,Complaint,0.96
31,This place is DISGUSTING. Not only have they been shut down for bad health conditions and accused of treating their employees like trash and not cleaning anything. They decided to put up politics on their sign which is not good business. Very disgusting and gross. This place needs to be shut down for good.,Complaint,0.97
32,Expensive  poor service  and food not great. Our bill was over $100 for 4 people. 1 Beer and no other drinks. Only 1 chip basket per table  but we had a large party and would only give 4 baskets. Our server never filled our drinks and was charged a mandatory gratuity.,Complaint,0.98
33,I ordered a delivery order. I received my order confirmation via email. I began tracking my order and for 40 minutes my order stayed on prep. Over an hour later I received a call saying they were canceling my order because the driver left at 8 and I put my order in after 8. I will never order from this dominos again.,Complaint,0.97
34,Chicken was gross had no flavor. Rice tasted old and cold spent 50.00 what a wast of money this place is horrible,Complaint,0.96
35,Pizza and calzone just isn't very good. Whatever you do  don't go there to pick it up! I've lived in plenty of truly dangerous places in my lifetime  but I can't think any situation in which I was more certain of impending robbery  carjacking  or getting shot than waiting in that parking lot for our order to get done! Seriously!,Complaint,0.95
36,I have been a loyal customer of starbucks for a few years  and over the past year alone I visited starbucks at least 4x every week. I have always been satisfied with my order and the amount of time it took to prepare  however  I am extremely disappointed with their service in the course of the past few months. The store hours have been decimated so much that it is almost impossible to get in there once a week. I have made many phone calls asking for the new store hours but i get different answer every time. The website has not been updated and myself as well as a few others have tried to be flexible and come by when we can  but it is almost always closed. I'm not sure if this is due to short staffing or covid  but you are losing customers and money. Please take into consideration everything i have said. Thank you.,Complaint,0.94
37,Ordered three items. One showed up when driver came the first time. They offered me a 2L soda. Don't drink soda. The quality of food was not there. Horrible pizza  horrible wings  but mostly just non-existent customer service. $30. We are two wings out of each order and two slices. Had to throw everything away.,Complaint,0.93
38,We ordered take out and were told it would be 30 min. We sat and waited for an additional 30 minutes because it wasn't ready. The food is good but not worth the inconvenience and wait. Will not be returning.,Complaint,0.92
39,Horrible leadership for a small business. The management is very unprofessional. This business will never succeed with management who power trip. Team work would be more successful!!!,Complaint,0.91
40,This is the worst time I've had here. We had an 8PM reservation for 15 but was not seated until 8:30 PM. After being seated for 30 min  our drink orders were finally taken. 30 min after that appetizer orders were taken. 45 min after that entree orders were taken. We asked several times for the manager and he never came. Finally the guest of honor went to the bar where the manager was located but he was brash with her. After asking again for the manger at the table because the entree orders took an hour and a half to come out. When the manager came to the table he was brash yet again. No apology was ever offered. To his credit  Langston was doing as best he could to serve the table but he was only one person with little to no help. Every with the understanding of the impact of Covid  preparations should have been taken for a pasty of this size with advance reservations. Additionally  a simple apology from the manager instead of an unprofessional response would have gone a long way.,Complaint,0.9
41,Pretty sure I got food poisoning from expired cabbage in the chow mein 2 days ago. Should have trusted my nose.,Complaint,0.89
42,VERY racist & rude. If you're African American  do yourself a favor and go to other nearby Latino eateries. They treat other Latino and white people fine  but they appear to not welcome black people here. Marelin P is such a rude and racist cashier!!!,Complaint,0.88
43,I was looking forward to having a nice birthday dinner by treating myself to someplace better than average. I was seated right away (thanks to self seating). Someone brought water right away. The waiter took my order and brought me a drink. 45 minutes later I walked out. Having only had one soda. I ordered the Shrimp Cocktail appetizer to be followed by the Surf and Turf entree  I even upgraded to the Caesar Salad. I was going to top it of with the Crem Brulee. No food ever came to my table. No waiter approached my table again. Not even an offer to refill my drink. I was planning on leaving a decent tip on top of an expensive meal. Instead I left hungry. Worst dining experience I have ever had  not just in Reno. Do yourself a favor  go to Outback.,Complaint,0.87
44,We stayed at the hotel next door and was looking for a late night pizza place and decided to give this place a try. We had a 10 inch pizza and an order of breadsticks. The breadsticks was ok but the pizza was not very tasteful. The workers at this place were not to welcoming either and seemed like they did not want to be there. Would not recommend to anyone.,Complaint,0.86
45,They get my order wrong 90% of the time and they always seem grouchy and irritated that your making them work,Complaint,0.85
46,They gave me a 55 minute time to be ready.im fine with that. Showed up 25-30 minutes later Charged me 20% of what I ordered for a service delivery fee. I tipped as well. Got Raw uncooked pizza not the right sauces and where is the cheese on any of that. Avoid at all cost. Just now got into my raw chicken and burnt dessert. Delivery was service was fine but I would've waited another 20 minutes for the quality of food I paid for and expected.,Complaint,0.84
47,I admit that I am typically too lazy to write reviews but I had such a poor experience today that I feel an obligation to warn others. I was in the city with my daughter today  had heard this place had just opened and thought it would be a fun late and light lunch and dessert. With all patience and acknowledgment of the difficulties right now - this was still a disaster. Service was slow and inattentive. Food was not great. I had to track down our server to find our missing food. I had to remind her to clear dishes so there was sufficient room to eat our desserts. The bathroom had no toilet paper or soap. Spare yourselves and wait until this place gets its act together.,Complaint,0.83
48,20 minutes never got an order  asked for money back which took another 15 minutes. If you are hungry and actually want food to eat.... go elsewhere. The one in Carson is 30x better and you drive thru it in 5 minutes tops. Also  it smells like a clogged toilet in there.,Complaint,0.82
49,Their food is okay  but their service is so awful  slow and rude that you will never want to go back. I live nearby and have given them at least 5 chances  just not worth it  there are tons of other lovely places Old City has to offer with wonderful ownership!,Complaint,0.81
50,Wow. That was a bad chicken meal. I was the only person in the store and ordered an 8 pc dark plus fries  biscuits and mashed potatoes with gravy. After I paid I went to pick up my food. The chicken bag seemed light - after checking there was only 6 pcs. I told the worker and she gave me 2 more. I got home and discovered we received Mac n cheese instead of mashed potatoes. I hate this kind of carelessness. The fries were a soggy waste of money. I received 12 biscuits instead of 8. Thanks but no thanks. I'll go to Popeyes next time we want to splurge calories on fried chicken.,Complaint,0.8
51,Fucking disgusting I got a bean and cheese chimi and side of rice to go never again if you can't get the beans right the rest is shit stars 0.5because the $1.75can soda was good and that didn't really come from them,Complaint,0.79
52,Came in with my wife yesterday excited to check it out. We were seated immediately by the young lady hostess. As there were only one other couple in the place we figured there would be next to no wait. We were wrong. One of the owners stood 10 feet away from us talking to a couple that had finished their meal. Apparently they knew each other or their families knew each other and they enjoyed their conversations. We were completely ignored for 10 minutes. This was extremely disappointing not only because we were hungry we were truly interested in having a new pizza place to frequent. To run a business successfully as an owner you need to be responsive to your customers! Ignoring people when no one else is in your restaurant will not produce positive results and unfortunately  we will not return.,Complaint,0.78
53,I hate to give a one star review  but this Wendy's location has been pure frustration to deal with; it is open completely random hours! Until last week I've had pretty good luck with weekday lunch. I arrived at 1:00 PM to find a crane hovering over the restaurant replacing an air conditioner. And of course they were closed. Conveniently there is a McDonalds two parking lots away  so I don't go hungry  but IMO Wendy's has far fresher tasting food. And before someone comes up with a pandemic / supply chain / hiring comment  the McDonalds 500 feet away is open their posted hours every day  no excuses. C'mon Wendy's  get your act together!,Complaint,0.77
54,Closed for construction and didn't notify Yelp or google - bad business - just walked 15 minutes to get here,Complaint,0.76
55,The customer service is AWFUL! I leave in just as bad a mood as the employees. I love Cava but I think I'm gonna have to be done with this one. This time the associates were vocal they were ready to close. I got to the point where they add meat and they had ONE. They were not cooking anymore and judging by the fact the grill was cleaned way before I got there they didn't care. We weren't given an option for drinks and the card readers were broken. While eating we were all locked in with no one attending the door which is surely a fire hazard. We had to figure out how to unlock the door to get out. Maybe the Franklin location will be better.,Complaint,0.75
56,New Year's Day and weather was lousy and  as we were staying at the Dream Hotel  we availed ourselves of the on-site restaurant. Waitress was efficient and recommended the chef's special  prime rib  and served medium rare  as chef recommended. First attempt was well done  so I sent it back; second attempt was rarer but stone cold. When I pointed this out  the manager appeared and proceeded to school me on how prime rib is to be served cold. I know quite well how to cook beef medium rare and how to keep it warm and the manager's condescending manner did nothing to make the meat tasty. The side dishes were hot and delicious. My husband's prawn meal was good.,Complaint,0.74
57,We love the food but was so so disappointed last night! We chose it for dinner and they missed up our order  it was Uber delivery so it was hard to fix as it's the restaurant mistake.,Complaint,0.73
58,Stopped in for breakfast as the outside patio was completely empty. Was told it would take a little bit to find a server to work out there and take care of us. Waited for a while and then was told it would be probably 20 more minutes or longer before someone could serve us outside (another party was already seated outside too and had service). Really dumb.,Complaint,0.72
59,I came here for the comedy...and to vent a bit. If I could sit down with the owner for at least 5 mins and just hear the reason for the foolishness so it could all make sense. Honestly  I think I'm more interested with the magic of keeping a place open that makes little to no money when the employees clearly make more than what's on their paycheck. Straight,Complaint,0.71
60,Total rip off- ordered M&M cookies and they called to say they were out of those so we wanted to cancel the order- but they told us they would add M&Ms to the sugar cookies. Long story short we pick up the cookies and NO M&Ms in the cookies. I called them and the person who answered (same person that called to tell us they were out the cookies) and said whoops  we were actually out of M&Ms. I should've called you back. But of course they didn't because they didn't want to lose the sale. Well you've lost a customer. Grow up and run your business like a professional.,Complaint,0.7
61,Sat at the bar and our server was extremely flirtatious with my fiancé. I'd understand if we went to hooters or another restaurant where you go for the girls  but we did not go for the girls. she got my drink order wrong 3 times  forgot my side when our food came out  and brought him silverware but not me. super attentive to my fiancé. and he wasn't even the one that paid!!! the bar was also littered with drinks from previous guests and had definitely not been wiped down.,Complaint,0.69
62,The food used to be good.We've tried to give it few more tries  hoping it'll be at least decent tasting. This last visit was definitely the reason we won't be back. When we're seated  no one said anything. No welcome  here's the menu  waters? Nothing. 10 min later  a girl brought chips and salsa and said nothing and walked away. Another 10 min  our waiter comes up with menus  sets them down doesn't say a name and just says drinks. We didn't get a drink menu and had literally just received the regular menus. Which have changed every time we've been here. We ordered and got our food really fast. Not even 20 min. But the food orders were wrong and cold. We paid our bill and left.,Complaint,0.68
63,Waited forever  Never got our food. The manager kindly said I'll take it off the bill Well thanks since we never got it...sub par service. The couple next to us nearly walked out for same reason. Trust me  skip this place. Terrible experience all around.,Complaint,0.67
64,I ordered a half cheese half pepperoni pizza. When i got my pizza  i bit into it to realize that under the cheese on the only cheese side there was pepperoni. I do not eat meat so this was a big deal. Seemed like someone didn't realize it was half cheese and tried to cover the mistake with cheese. When we called  the manager immediately told us we ordered all pepperoni with extra cheese. I have proof this was wrong. He argued with us when i asked if it was all pepperoni why was half covered with cheese? Seems there's something wrong almost every time i order here as this is not a first.,Complaint,0.98
65,Over priced Mexican food and they make sure to purposely make your food incorrect to steal from you. My husband ordered me the pambazo with steak meat and there was no steak meat! Slow service and not a friendly place to give your business to. If you do decide to try this place make sure to unwrapped your food and make sure your food is made correctly  but if you have to go through all that trouble  then my best suggestions is to avoid this place at all cost. I would NOT RECOMMEND! there's better Mexican restaurant out here in Reno.,Complaint,0.97
66,Walked in and immediately a younger lady with glasses approached vigorously. We walked over to her and simply asked her about the packages and she had an attitude the whole time. At that point  We decided to leave. Very rude customer service. Find workers that will actually treat customers well. Do better. Dog shit,Complaint,0.96
67,i'm actually so disappointed speaking of the fact wawa never lets me down. they didn't have chicken for my quesadilla or roasted veggies and they made me pay before they wanted to tell me they had nothing i wanted and wouldn't give me a refund. get it together.,Complaint,0.95
68,"I was given an offer for a free medium 2 topping pizza from dominos but they would not let me order it because it didn't reach the ""minimum delivery price of $17"". So it's essentially an empty offer. Why even tell people that then? What the point? Just reeks of laziness.",Complaint,0.94
69,He ordered his steak medium well and it came out bloody and smelled sour.. but I loved the passive aggressive response so thank you,Complaint,0.93
70,I ordered out and was missing half my order including the 2 sauces. And the French fries were awful. They were hard and cold. After it taking them 2 hours to even get it done. As they were trying to resolve it i was on hold for 45 mins waiting for a manger  so I hung up called back because they completely forgot I was on hold. So all in all not a great experience.,Complaint,0.92
71,We have tried this restaurant three times and really wanted to like it as we live close by in Bryn Mawr. The food is average at best and the interior decor is as budget as it gets. The service at the table has always been friendly  but slow which I would actually enjoy if it were a good Italian restaurant. However  the biggest turnoff is the extremely rude (all three times now) hostess that makes you feel you need to leave immediately after eating even when the restaurant is 80% empty. I love that this location is a restaurant over the old Wells Fargo bank  but I hate to say I hope this place closes and another establishment of better quality takes its place.,Complaint,0.91
72,Garbage service  they received my order but did not follow through with making and delivering it after they confirmed the order.,Complaint,0.9
73,God this place was disgusting. The soup tasted like straight up dish soap and ruined my appetite and made me sick. Don't go here.,Complaint,0.89
74,Went here 1 hr before my flight thinking I had plenty of time. I was seated at a table and waited 20 minutes with no one coming to take my order. A family came and sat 3 tables down and got their order taken within 5 minutes and then the server walked the opposite direction from me. I went to the bar to approach the server and asked why they didn't take my order. They said my table was not assigned a server. She said she would get my order shortly. About a minute later the same host who sat me  Bryan  came and asked if I just walked in and sat myself. I responded you sat me here twenty minutes ago! About a minute later a nice server  Erika  came and took the order and got it done. I wonder how long I would have had to sit there with no response from someone because the host  Bryan  doesn't know how to do the most important part of his job...seat people. Erika  our server finally  was great. Bryan not so much.,Complaint,0.88
75,Just like Hamilton stated below...they're still on that mask mandate mess but I wouldn't even have been upset if the staff wasn't so freakin rude about it! On top of that they didn't even have any mask to offer customers smh Literally embarrassing unprofessional and rude! Never again! ....and shoutout to Hip City Veg next door!they'll see me again.,Complaint,0.87
76,Very disappointed went there over there over the weekend and order pho ga when they handed me my bowl I found A bug in my bowl  told the guy I want A net one ending up the new bowl wasn't good at all very disappointed,Complaint,0.86
77,Had to wait 45 minutes for a cappuccino. The staff were sweet but to wait that long for coffee is ridiculous,Complaint,0.85
78,"went through  line was slow as usual but nothing crazy. our total was $10 we got a mac & cheese and a chicken sandwich. we paid and the person that took our money closed the window and left to get our food. then this girl begrudgingly open the window and told us we owed $31. i said ""no we actually just paid you're mistaken"" and she closed the window. we finally got our food  i open my LARGE mac n cheese  and it was filled  i kid you not  just above the cups half way point. i was genuinely shocked when i saw that  because to me  you wouldn't fill a large that low unless it was on purpose.. and if these employees are taking out their frustrations on the customers then this place is not going to last. i'll definitely never visit this location again. you just lost a customer popeyes. picture attached to review is right after i opened the lid. half empty. rude as hell. i'm pissed.",Complaint,0.84
79,The 5 times I have been there.... I have never seen everything available. Something is always out. One time they had no chicken. Another time no peppers. This time 2 sodas in the machine were out. The silverware was out. And every employee was chatting in back and no one was up front. No hustle or lack of care. Line is to the door. They need more staff and more product.,Complaint,0.83
80,"I went to get a vanilla cream cold brew and asked for the 20 ounce and was basically told I wasn't allowed to get it. It was under cold brew and the lady was rude to me and said ""it's a specialty drink and only comes in one size"". I pointed to where it was on the menu in the store where it is listed to come in 2 different sizes and she still refused to give me what is displayed in their store. The ounces are not an issue for me it was just the way it was handled and how it is displayed. It should be covered so that it is not confusing for the customers. I also looked in the app to see if maybe the location just had the wrong information and you are able to pick either size. Not sure what the issue is but it needed to be addressed.",Complaint,0.82
81,"The female bartender on nye underestimated us  she made my friends feel like we were below it and that we weren't worth her time. Literal conversation ""what dressings do you have"" ""they're house made you wouldn't know how they taste"" OKAY THEN DESCRIBE THEM YA FREAK she was quite literally the worst don't go there unless you feel like getting degraded",Complaint,0.81
82,Slow service  clueless managers  greasy food  dirty plates and not to mention the place itself is dirty. Sad attempt at an upscale restaurant,Complaint,0.8
83,What happened to this place ????? Pizza use to be good when I first moved to Florida from up north ... came back and I would rather go buy little ceasers for $5 instead .. nasty pizza even the coke from the soda machine rates like trash .. place looks dirty as well !! YOUVE VEEN WARNED,Complaint,0.79
84,We were looking for top rated Italian restaurants in the area and Alfano's was at the top. Was concerned with a number of very low ratings  and there were also good ones- so a mixed bag  but tried it last night. There was a sparse attendance; about a third of the tables were occupied. Ordered wedding soup  which was pretty good and quick. No wait for our seats  but a 40 minute wait for the two entrees - veal Milanese and chicken Marsala. Several apologies from the wait staff that they were very busy. The veal was good; the chicken tasteless and the pasta sauce tasted odd. So a very mixed meal opinion.....just like the reviews. If you go  I hope you can write a good review  but beware. One star for the meal issues vs the price.,Complaint,0.78
85,I was debating on whether to post this but here goes. My hubby I and my granddaughter went here about 5 weeks ago. We went in & it was very crowded. Lots of people sitting at the bar and we were told it would be atleast a half hour. We decided to wait and the hostess came over to tell us she had a booth  we only waited maybe 20 minutes. We walked over to the booth and as we were going to sit down this huge roach was crawling up the wall over the table. The hostess backed up and was kind of freaking. I said are you going to kill it...she backed up farther and said no way and I touching that. I took my menu and swatted it. At that point I had no idea where it was and really in disbelief that she was doing nothing about it. She just looked at us and said I guess you don't want to stay. Now I get that you are going to have some bugs but as we left I saw the hostess go into the other dining room. Maybe I should have stayed and asked to speak to the manager or owner but it was so crowded I just didn't want to be so close to all the people without masks during covid. Needless to say we won't be going back there.,Complaint,0.77
86,This is about the third time this is happened to me. I purchased the Coffee deal where I can get multiple coffees for a fixed price per month. I was using Panera as my study location as I am going to school for medical. When I get to location  the inside dining is closed and the line is wrapped around the building. If it was because of Covid  it would not be open intermittently  I was here yesterday and was able to go inside and order and sit and study  but today it is closed and earlier this week was the same situation. Very frustrating.,Complaint,0.76
87,I am truly confused as to why this establishment is so highly rated. It's as if the crowd here is not familiar with authentic poke'. We tried 'The Ring of Fire' and 'The OG'  both of which were bland with the exception of the blistered pepper. The rice was cold mush and consumed about 80% of the bowl. Please try Poke' Hana in Orlando if you would like a comparison of the night and day difference between flavorful  marinated fresh Hawaiian poke' and accompaniments.,Complaint,0.75
88,The music here is usually too boring. I happened to stop by last night and the vibe was actually cool and I was having a good time  but it seemed the DJ was only allowed a short set before it went back to the most horrendous basic music ever.,Complaint,0.74
89,Sorry the reviews were really good so we thought we would give it a try. Sunday afternoon bad choice  we ordered 4 burgers. We waited over an hour and they were NOT amazing. They were hot but not special. Save your money  because it wasn't cheap and go to Burger Monger. Better burgers.,Complaint,0.73
90,Very unprofessional. The employee who took my order seemed annoyed the whole time and in the end got my order wrong. As well as  the environment was very negligent  so much as to the employees were wearing beanies while inside which subtracts from the overall chick-Fil-A experience. I would highly recommend the Chick-Fil-A on Franklin road instead!,Complaint,0.72
91,"Ordered take out  kind of hard to mess up. My wings were cold. And despite being freshly made.... Also how do you order the special of 10boneless wings + fries  be charged for it. And don't get the french fries? While I was waiting for my food in the takeout area a Waitress came out of the kitchen  and yelled to a table waaaaaayyy on the other side of the dine in area ""hey your food is almost done baby!"" That was super weird. my wife tried to use the bathroom  she said there was a bloody tampon on one of the 3 stalls  the 2nd stall was clogged  and the 3rd stall someone was using. I didn't know a franchise could be this bad from one to the next.",Complaint,0.71
92,After unprofessional rude behavior.... After pointing out the rudeness  a worker with dreads threatened to hit me and charged at me out the side door. The manager Fagan also made threats and began to lie to cover up his and his worker's behavior,Complaint,0.7
93,I placed an order through Uber eats for a family that had covid. 25 minutes after posting the order  cafe Zupas cancelled it. The family has been waiting on that order. Very unprofessional and disappointed. This is not my first bad experience with them either  but it will be my last.,Complaint,0.69
94,I would give this place a -10 if they had it. It was the worse food I have ever had. The noodles were pasty  the vegetables were cold  and the Seasame Chicken tasty like oil  no sesame flavor and the chicken tasted sour (bad). I went to complain and they refused to give me my money back and they caused a big scene. I posted on Facebook and over 50 people so far had something terrible to say about this place. Do not eat here,Complaint,0.68
95,There has been multiple times I've come here and I've had the workers say they are closed when they lights are on and workers are clearly here. Now they are clearly they are taking their time. They should find some workers that actually want to work.,Complaint,0.67
96,Was excited to try Homage for some time now. Unfortunately didn't get to  walked right out shortly after entering. terrible customer service,Complaint,0.95
